timestamp,date,time,cam_id,cam_name,person_id,confidence_pct,latitude,longitude,altitude_m,accuracy_m,gps_source,nearest_team,road_distance_km,eta_min
2026-03-08 09:37:37,2026-03-08,09:37:37,2,CAM-2 East Block,1,42.7,19.849836,75.324339,511.1,3.8,gps,Charlie Team,0.302,1.3
2026-03-08 09:38:24,2026-03-08,09:38:24,2,CAM-2 East Block,1,31.4,19.84983,75.324339,511.0,3.8,gps,Charlie Team,0.303,1.3
2026-03-08 09:38:29,2026-03-08,09:38:29,2,CAM-2 East Block,2,44.4,19.849816,75.324337,510.6,3.8,gps,Charlie Team,0.305,1.3
